                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0934,                 1.7858,                0.79051,                 1.1749,                0.71326,                   0.63,                0.71063,                0.38623,                0.72156,                   0.64,                0.71781,                0.38552,                 1.6557,                 2.6195,                 1.1898,                 1.5434,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1124,                 1.7361,                0.75297,                 1.1804,                0.69572,                  0.645,                0.69794,                0.37307,                0.69033,                   0.64,                0.69292,                0.37244,                 1.6686,                 2.6647,                 1.3129,                 1.5846,               0.000614,               0.000614,               0.000614
                     73,                 1.0853,                 1.7272,                0.73799,                  1.149,                0.69585,                0.66349,                0.69181,                 0.3703,                0.70475,                 0.6803,                 0.7098,                0.36068,                 1.7075,                 2.7392,                 1.2535,                 1.5994,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0778,                 1.6666,                0.71963,                 1.1581,                0.73854,                   0.64,                0.70449,                0.37821,                0.75031,                   0.65,                0.71921,                0.37773,                 1.7208,                 2.7103,                 1.2082,                 1.6003,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0905,                  1.728,                0.74481,                 1.1566,                0.76974,                   0.62,                0.71721,                0.39279,                0.78386,                  0.635,                0.73556,                0.38644,                 1.6935,                 2.6874,                   1.14,                 1.5843,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0575,                 1.6615,                0.71872,                 1.1339,                0.66773,                   0.72,                0.73815,                 0.4107,                0.68534,                0.72965,                0.75841,                0.40292,                 1.6338,                  2.647,                 1.1511,                 1.5312,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0473,                 1.7217,                0.71812,                 1.1583,                0.74865,                0.69995,                0.72535,                0.39919,                0.76453,                 0.7143,                0.75319,                0.39032,                 1.6666,                 2.5857,                 1.1789,                 1.5543,               0.000515,               0.000515,               0.000515
                     78,                 1.0615,                 1.6543,                 0.7316,                 1.1521,                0.74706,                0.73838,                0.75631,                 0.3985,                0.75212,                0.74338,                0.77115,                 0.3981,                 1.6532,                 2.5749,                 1.1221,                 1.5708,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0461,                 1.6277,                0.68233,                 1.1245,                0.70859,                   0.69,                0.73344,                0.39566,                0.70859,                   0.69,                0.72852,                0.38695,                 1.6875,                  2.685,                 1.1855,                 1.5687,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0411,                 1.6822,                0.70332,                 1.1313,                0.69914,                0.69714,                0.73571,                0.40932,                0.69412,                0.69214,                0.73003,                0.39618,                 1.6358,                 2.6896,                 1.1664,                 1.5324,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0126,                 1.6254,                 0.6812,                 1.1048,                0.76894,                 0.6323,                 0.7334,                0.37709,                 0.7584,                   0.64,                 0.7309,                0.37725,                 1.6874,                 2.6798,                 1.2126,                 1.5739,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0061,                  1.604,                0.70373,                 1.1176,                0.68837,                 0.7179,                0.73734,                0.39409,                0.66912,                  0.705,                0.72804,                0.38777,                 1.6932,                 2.7025,                  1.224,                 1.5917,               0.000416,               0.000416,               0.000416
                     83,                 1.0135,                 1.6208,                0.69231,                 1.1397,                0.73929,                0.66639,                  0.742,                 0.4059,                0.72858,                0.65767,                0.72851,                0.38793,                 1.6954,                 2.7401,                 1.2184,                 1.5887,              0.0003962,              0.0003962,              0.0003962
                     84,                0.98391,                 1.6048,                0.66505,                 1.1058,                0.72889,                0.69902,                0.73586,                 0.4048,                0.72367,                0.69402,                 0.7296,                0.40034,                 1.7134,                  2.682,                  1.192,                 1.5872,              0.0003764,              0.0003764,              0.0003764
                     85,                0.99027,                 1.5396,                0.66199,                  1.126,                0.74088,                  0.695,                0.73131,                0.40537,                0.73154,                  0.685,                0.71692,                0.39348,                 1.6855,                 2.7388,                 1.1758,                 1.5691,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.9882,                 1.5919,                0.64587,                 1.1139,                0.77606,                0.64111,                0.72938,                0.39654,                0.78816,                0.65111,                0.72744,                0.39024,                 1.6783,                 2.7498,                 1.2075,                 1.5462,              0.0003368,              0.0003368,              0.0003368
                     87,                0.97871,                 1.5417,                 0.6603,                 1.1123,                0.65808,                  0.735,                0.72845,                  0.405,                0.67662,                0.71139,                0.73018,                0.40224,                 1.6724,                 2.7573,                 1.1483,                 1.5518,               0.000317,               0.000317,               0.000317
                     88,                0.95796,                 1.5312,                0.63614,                 1.0867,                0.63377,                 0.7528,                0.72478,                0.40004,                0.63377,                 0.7528,                0.73289,                0.40193,                 1.6946,                 2.7422,                 1.1475,                 1.5907,              0.0002972,              0.0002972,              0.0002972
                     89,                0.98088,                 1.5561,                0.64132,                 1.1063,                0.67511,                  0.725,                0.73702,                0.40206,                0.70187,                0.70628,                0.74238,                0.39899,                  1.689,                 2.7592,                 1.1277,                  1.592,              0.0002774,              0.0002774,              0.0002774
                     90,                0.98324,                 1.5609,                0.61673,                 1.0864,                0.72888,                 0.6721,                0.73762,                 0.3847,                 0.7343,                 0.6771,                0.74116,                0.38798,                 1.7212,                 2.7731,                 1.1874,                 1.6391,              0.0002576,              0.0002576,              0.0002576
                     91,                0.90999,                 1.5119,                0.59995,                 1.0635,                0.67259,                0.70873,                 0.7279,                0.38758,                0.67627,                   0.72,                0.72801,                0.38351,                 1.7305,                 2.8392,                 1.2404,                 1.6394,              0.0002378,              0.0002378,              0.0002378
                     92,                0.91801,                 1.4418,                0.61769,                 1.0784,                0.73027,                  0.665,                0.70991,                0.39178,                0.73576,                   0.67,                0.71718,                0.38932,                 1.7139,                 2.8187,                 1.2195,                   1.62,               0.000218,               0.000218,               0.000218
                     93,                  0.905,                 1.4609,                0.55495,                 1.0903,                0.74385,                  0.635,                0.71712,                0.38568,                0.74845,                  0.635,                0.71959,                0.37954,                 1.7157,                 2.8437,                 1.1993,                 1.6212,              0.0001982,              0.0001982,              0.0001982
                     94,                0.90762,                  1.467,                0.56355,                 1.0786,                0.70065,                   0.68,                 0.7134,                0.38706,                 0.7058,                  0.685,                0.72546,                0.38045,                 1.6962,                 2.8264,                 1.1952,                 1.6031,              0.0001784,              0.0001784,              0.0001784
                     95,                0.85744,                 1.4094,                0.54461,                  1.054,                0.70472,                 0.6802,                0.73472,                  0.404,                 0.7099,                 0.6852,                0.73956,                0.39727,                  1.683,                 2.7803,                 1.1865,                 1.6002,              0.0001586,              0.0001586,              0.0001586
                     96,                0.85024,                 1.4155,                0.53101,                 1.0352,                0.69712,                   0.68,                0.73005,                0.40253,                0.72094,                    0.7,                0.75108,                0.39925,                 1.6915,                 2.7884,                  1.172,                 1.6117,              0.0001388,              0.0001388,              0.0001388
                     97,                0.85279,                 1.3901,                0.52907,                 1.0526,                0.68902,                0.69794,                0.73014,                 0.4034,                0.69889,                0.70794,                0.74236,                0.39753,                 1.6914,                  2.802,                 1.1871,                   1.61,               0.000119,               0.000119,               0.000119
                     98,                 0.8355,                 1.3634,                0.51145,                 1.0349,                0.70722,                   0.69,                0.74319,                0.40419,                0.69053,                  0.715,                0.73742,                0.39832,                 1.6743,                 2.8194,                 1.1723,                 1.5995,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.81138,                 1.3823,                0.51121,                 1.0328,                0.71087,                  0.685,                0.73549,                0.41398,                0.71665,                   0.69,                0.73782,                0.40451,                 1.6556,                 2.8253,                 1.1601,                 1.5869,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.81992,                 1.3674,                0.51026,                 1.0383,                0.71428,                0.69999,                0.74553,                0.41563,                0.71428,                0.69999,                0.73845,                0.40781,                 1.6707,                 2.8358,                 1.1745,                 1.5889,               5.96e-05,               5.96e-05,               5.96e-05
